_measurement,time,price,mileage,title,url
string,dateTime:RFC3339,double,double,string,string
group,FALSE,FALSE,FALSE,FALSE,FALSE
gt350_listing,2023-10-18T00:00:00Z,104000,3300,"3,300-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-54/
gt350_listing,2023-10-19T00:00:00Z,80500,4000,4k-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-51/
gt350_listing,2023-11-11T00:00:00Z,98850,1900,"1,900-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-57/
gt350_listing,2023-11-30T00:00:00Z,126000,32,32-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-60/
gt350_listing,2024-02-25T00:00:00Z,148000,10,10-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-61/
gt350_listing,2024-03-06T00:00:00Z,59550,2800,"2,800-Mile 2020 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-60/
gt350_listing,2024-03-30T00:00:00Z,95000,98,98-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-63/
gt350_listing,2024-06-02T00:00:00Z,65000,2400,"2,400-Mile 2020 Ford Mustang Shelby GT350 Heritage Edition",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-63/
gt350_listing,2024-06-19T00:00:00Z,84600,1600,"1,600-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-68/
gt350_listing,2024-06-26T00:00:00Z,119800,448,448-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-67/
gt350_listing,2024-07-03T00:00:00Z,83400,6000,6k-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-69/
gt350_listing,2024-07-05T00:00:00Z,145000,11,11-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-66/
gt350_listing,2024-12-31T00:00:00Z,121000,28,28-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-81/
